"export-plot data (NetLogo 6.2.0)"
"Try1.nlogo"
"06/26/2021 18:24:23:795 +0800"

"MODEL SETTINGS"
"show-energy?","number"
"true","89"

"""Totals"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","290","0","1200","true","""turtle""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""turtle""","true","0","1","0","237"
"""grass""","true","0","1","55","237"

"""turtle""",,,,"""grass"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","89","0","true","0","1089","55","true"
"1","89","0","true","1","1003","55","true"
"2","89","0","true","2","931","55","true"
"3","89","0","true","3","869","55","true"
"4","89","0","true","4","812","55","true"
"5","89","0","true","5","759","55","true"
"6","115","0","true","6","708","55","true"
"7","144","0","true","7","655","55","true"
"8","178","0","true","8","614","55","true"
"9","209","0","true","9","560","55","true"
"10","211","0","true","10","504","55","true"
"11","227","0","true","11","468","55","true"
"12","248","0","true","12","422","55","true"
"13","270","0","true","13","376","55","true"
"14","284","0","true","14","338","55","true"
"15","303","0","true","15","304","55","true"
"16","318","0","true","16","272","55","true"
"17","330","0","true","17","249","55","true"
"18","334","0","true","18","218","55","true"
"19","336","0","true","19","195","55","true"
"20","330","0","true","20","174","55","true"
"21","336","0","true","21","162","55","true"
"22","338","0","true","22","161","55","true"
"23","338","0","true","23","144","55","true"
"24","343","0","true","24","139","55","true"
"25","344","0","true","25","129","55","true"
"26","342","0","true","26","133","55","true"
"27","335","0","true","27","125","55","true"
"28","336","0","true","28","132","55","true"
"29","334","0","true","29","129","55","true"
"30","324","0","true","30","131","55","true"
"31","324","0","true","31","122","55","true"
"32","326","0","true","32","113","55","true"
"33","325","0","true","33","117","55","true"
"34","327","0","true","34","101","55","true"
"35","325","0","true","35","104","55","true"
"36","325","0","true","36","97","55","true"
"37","322","0","true","37","109","55","true"
"38","323","0","true","38","131","55","true"
"39","324","0","true","39","128","55","true"
"40","317","0","true","40","130","55","true"
"41","319","0","true","41","115","55","true"
"42","319","0","true","42","115","55","true"
"43","318","0","true","43","117","55","true"
"44","317","0","true","44","121","55","true"
"45","316","0","true","45","125","55","true"
"46","318","0","true","46","112","55","true"
"47","319","0","true","47","127","55","true"
"48","322","0","true","48","124","55","true"
"49","315","0","true","49","137","55","true"
"50","315","0","true","50","130","55","true"
"51","311","0","true","51","121","55","true"
"52","314","0","true","52","116","55","true"
"53","308","0","true","53","127","55","true"
"54","308","0","true","54","133","55","true"
"55","312","0","true","55","110","55","true"
"56","303","0","true","56","106","55","true"
"57","299","0","true","57","113","55","true"
"58","297","0","true","58","124","55","true"
"59","302","0","true","59","122","55","true"
"60","296","0","true","60","111","55","true"
